"","full_name","player_team","season","games_played","fantasy_position","player_fpoint_season","player_fpoint_per_game","player_share_season","player_share_pergame","player_share_pergame_perc","team_fp_season","team_fp_pergame"
"1","Aaron Black","Geelong",2017,4,"Back",295,73.75,0.0083,0.0457,4.57,35524,1614.73
"2","Aaron Black","Geelong",2018,3,"Back",188,62.67,0.0053,0.0392,3.92,35160,1598.18
"3","Aaron Black","North Melbourne",2014,22,"Forward",1227,55.77,0.0354,0.0354,3.54,34662,1575.55
"4","Aaron Black","North Melbourne",2015,3,"Forward",107,35.67,0.0032,0.0232,2.32,33890,1540.45
"5","Aaron Black","West Coast",2022,1,"Mid",67,67,0.0021,0.0459,4.59,32091,1458.68
"6","Aaron Edwards","Richmond",2014,3,"Forward",167,55.67,0.0049,0.0358,3.58,34247,1556.68
"7","Aaron Francis","Essendon",2016,3,"Back",145,48.33,0.0041,0.0301,3.01,35271,1603.23
"8","Aaron Francis","Essendon",2017,2,"Back",93,46.5,0.0025,0.0277,2.77,36905,1677.5
"9","Aaron Francis","Essendon",2018,5,NA,325,65,0.0091,0.0402,4.02,35606,1618.45
"10","Aaron Francis","Essendon",2019,16,"Back",862,53.88,0.0256,0.0352,3.52,33714,1532.45
"11","Aaron Francis","Essendon",2020,7,"Back",287,41,0.015,0.0364,3.64,19124,1124.94
"12","Aaron Francis","Essendon",2021,14,"Back",664,47.43,0.0197,0.031,3.1,33625,1528.41
"13","Aaron Francis","Essendon",2022,4,"Back",162,40.5,0.0049,0.0269,2.69,33109,1504.95
"14","Aaron Hall","Gold Coast",2014,16,"Forward",908,56.75,0.0284,0.0391,3.91,31961,1452.77
"15","Aaron Hall","Gold Coast",2015,15,"Forward",1144,76.27,0.037,0.0543,5.43,30907,1404.86
"16","Aaron Hall","Gold Coast",2016,17,"Mid",1789,105.24,0.0535,0.0692,6.92,33440,1520
"17","Aaron Hall","Gold Coast",2017,19,"Mid",1866,98.21,0.0528,0.0612,6.12,35324,1605.64
"18","Aaron Hall","Gold Coast",2018,6,"Back",430,71.67,0.0135,0.0495,4.95,31845,1447.5
"19","Aaron Hall","North Melbourne",2019,6,"Forward",484,80.67,0.0146,0.0534,5.34,33262,1511.91
"20","Aaron Hall","North Melbourne",2020,14,"Forward",875,62.5,0.0451,0.0548,5.48,19386,1140.35
"21","Aaron Hall","North Melbourne",2021,20,"Back",2183,109.15,0.066,0.0726,7.26,33055,1502.5
"22","Aaron Hall","North Melbourne",2022,11,"Back",990,90,0.0321,0.0642,6.42,30862,1402.82
"23","Aaron Mullett","Carlton",2018,13,"Back",792,60.92,0.0246,0.0417,4.17,32174,1462.45
"24","Aaron Mullett","North Melbourne",2014,17,"Back",989,58.18,0.0285,0.0369,3.69,34662,1575.55
"25","Aaron Mullett","North Melbourne",2015,4,"Back",143,35.75,0.0042,0.0232,2.32,33890,1540.45
"26","Aaron Mullett","North Melbourne",2016,14,"Back",851,60.79,0.0249,0.0392,3.92,34124,1551.09
"27","Aaron Mullett","North Melbourne",2017,18,"Back",1310,72.78,0.0383,0.0469,4.69,34168,1553.09
"28","Aaron Naughton","Western Bulldogs",2018,18,"Back",934,51.89,0.0271,0.0332,3.32,34417,1564.41
"29","Aaron Naughton","Western Bulldogs",2019,22,"Forward",1408,64,0.0395,0.0395,3.95,35690,1622.27
"30","Aaron Naughton","Western Bulldogs",2020,10,"Forward",422,42.2,0.0212,0.0361,3.61,19868,1168.71
"31","Aaron Naughton","Western Bulldogs",2021,21,"Forward",1403,66.81,0.0413,0.0432,4.32,34008,1545.82
"32","Aaron Naughton","Western Bulldogs",2022,21,"Forward",1483,70.62,0.0431,0.0451,4.51,34448,1565.82
"33","Aaron Sandilands","Fremantle",2014,21,"Ruck",1817,86.52,0.0525,0.055,5.5,34640,1574.55
"34","Aaron Sandilands","Fremantle",2015,21,"Ruck",1842,87.71,0.0523,0.0548,5.48,35189,1599.5
"35","Aaron Sandilands","Fremantle",2016,5,"Ruck",277,55.4,0.0081,0.0356,3.56,34256,1557.09
"36","Aaron Sandilands","Fremantle",2017,10,"Ruck",765,76.5,0.0228,0.0501,5.01,33570,1525.91
"37","Aaron Sandilands","Fremantle",2018,11,"Ruck",840,76.36,0.0253,0.0506,5.06,33225,1510.23
"38","Aaron Sandilands","Fremantle",2019,6,"Ruck",436,72.67,0.013,0.0476,4.76,33617,1528.05
"39","Aaron Young","Gold Coast",2018,22,"Forward",1440,65.45,0.0452,0.0452,4.52,31845,1447.5
"40","Aaron Young","Gold Coast",2019,2,"Forward",95,47.5,0.0029,0.0318,3.18,32877,1494.41
"41","Aaron Young","Port Adelaide",2014,14,NA,586,41.86,0.0164,0.0258,2.58,35651,1620.5
"42","Aaron Young","Port Adelaide",2015,11,NA,503,45.73,0.0145,0.0289,2.89,34798,1581.73
"43","Aaron Young","Port Adelaide",2016,21,"Forward",1579,75.19,0.0471,0.0493,4.93,33542,1524.64
"44","Aaron Young","Port Adelaide",2017,13,"Forward",715,55,0.0199,0.0337,3.37,35866,1630.27
"45","Aaron vandenBerg","Melbourne",2015,14,"Forward",1035,73.93,0.0321,0.0504,5.04,32285,1467.5
"46","Aaron vandenBerg","Melbourne",2016,14,"Forward",856,61.14,0.0241,0.0379,3.79,35477,1612.59
"47","Aaron vandenBerg","Melbourne",2018,4,"Forward",272,68,0.0075,0.0412,4.12,36274,1648.82
"48","Aaron vandenBerg","Melbourne",2020,12,"Back",556,46.33,0.0285,0.0404,4.04,19520,1148.24
"49","Aaron vandenBerg","Melbourne",2021,4,NA,101,25.25,0.0029,0.0161,1.61,34443,1565.59
"50","Adam Carter","West Coast",2014,2,"Back",67,33.5,0.0019,0.0212,2.12,34684,1576.55
"51","Adam Cerra","Carlton",2022,18,"Mid",1585,88.06,0.0456,0.0557,5.57,34762,1580.09
"52","Adam Cerra","Fremantle",2018,21,"Mid",1250,59.52,0.0376,0.0394,3.94,33225,1510.23
"53","Adam Cerra","Fremantle",2019,20,"Back",1215,60.75,0.0361,0.0398,3.98,33617,1528.05
"54","Adam Cerra","Fremantle",2020,16,"Mid",1080,67.5,0.0542,0.0576,5.76,19922,1171.88
"55","Adam Cerra","Fremantle",2021,18,"Mid",1572,87.33,0.0492,0.0602,6.02,31927,1451.23
"56","Adam Cooney","Essendon",2015,11,"Forward",734,66.73,0.0211,0.0422,4.22,34794,1581.55
"57","Adam Cooney","Essendon",2016,20,"Forward",1795,89.75,0.0509,0.056,5.6,35271,1603.23
"58","Adam Cooney","Western Bulldogs",2014,18,"Mid",1414,78.56,0.0429,0.0524,5.24,32958,1498.09
"59","Adam Goodes","Sydney",2014,17,"Forward",1045,61.47,0.0294,0.038,3.8,35597,1618.05
"60","Adam Goodes","Sydney",2015,19,"Forward",1322,69.58,0.0363,0.042,4.2,36459,1657.23
"61","Adam Kennedy","Greater Western Sydney",2014,20,"Back",1288,64.4,0.0382,0.042,4.2,33707,1532.14
"62","Adam Kennedy","Greater Western Sydney",2015,7,"Back",400,57.14,0.0117,0.0367,3.67,34301,1559.14
"63","Adam Kennedy","Greater Western Sydney",2016,15,"Back",837,55.8,0.0228,0.0335,3.35,36633,1665.14
"64","Adam Kennedy","Greater Western Sydney",2017,7,"Back",352,50.29,0.0099,0.031,3.1,35659,1620.86
"65","Adam Kennedy","Greater Western Sydney",2018,7,"Back",494,70.57,0.0142,0.0446,4.46,34798,1581.73
"66","Adam Kennedy","Greater Western Sydney",2019,19,"Back",1241,65.32,0.0341,0.0394,3.94,36428,1655.82
"67","Adam Kennedy","Greater Western Sydney",2020,5,"Back",245,49,0.0122,0.0415,4.15,20055,1179.71
"68","Adam Kennedy","Greater Western Sydney",2021,9,"Mid",516,57.33,0.0153,0.0374,3.74,33739,1533.59
"69","Adam Kennedy","Greater Western Sydney",2022,18,"Back",1073,59.61,0.0314,0.0384,3.84,34173,1553.32
"70","Adam Marcon","Richmond",2016,2,"Forward",159,79.5,0.0047,0.0512,5.12,34144,1552
"71","Adam Oxley","Collingwood",2015,17,"Mid",1227,72.18,0.0353,0.0457,4.57,34780,1580.91
"72","Adam Oxley","Collingwood",2016,12,"Back",838,69.83,0.0234,0.0428,4.28,35857,1629.86
"73","Adam Oxley","Collingwood",2018,3,"Back",159,53,0.0043,0.0317,3.17,36769,1671.32
"74","Adam Saad","Carlton",2021,22,"Back",1537,69.86,0.0469,0.0469,4.69,32754,1488.82
"75","Adam Saad","Carlton",2022,21,"Back",1720,81.9,0.0495,0.0518,5.18,34762,1580.09
"76","Adam Saad","Essendon",2018,22,"Back",1302,59.18,0.0366,0.0366,3.66,35606,1618.45
"77","Adam Saad","Essendon",2019,21,"Back",1413,67.29,0.0419,0.0439,4.39,33714,1532.45
"78","Adam Saad","Essendon",2020,16,"Back",1026,64.12,0.0536,0.057,5.7,19124,1124.94
"79","Adam Saad","Gold Coast",2015,16,"Back",1024,64,0.0331,0.0456,4.56,30907,1404.86
"80","Adam Saad","Gold Coast",2016,10,"Back",577,57.7,0.0173,0.038,3.8,33440,1520
"81","Adam Saad","Gold Coast",2017,22,"Back",1339,60.86,0.0379,0.0379,3.79,35324,1605.64
"82","Adam Schneider","St Kilda",2014,13,"Forward",941,72.38,0.0288,0.0488,4.88,32655,1484.32
"83","Adam Schneider","St Kilda",2015,15,"Forward",1220,81.33,0.0354,0.0519,5.19,34449,1565.86
"84","Adam Tomlinson","Greater Western Sydney",2014,19,"Forward",1396,73.47,0.0414,0.048,4.8,33707,1532.14
"85","Adam Tomlinson","Greater Western Sydney",2015,8,"Back",518,64.75,0.0151,0.0415,4.15,34301,1559.14
"86","Adam Tomlinson","Greater Western Sydney",2016,12,"Back",596,49.67,0.0163,0.0298,2.98,36633,1665.14
"87","Adam Tomlinson","Greater Western Sydney",2017,21,"Back",1193,56.81,0.0335,0.035,3.5,35659,1620.86
"88","Adam Tomlinson","Greater Western Sydney",2018,22,"Back",1634,74.27,0.047,0.047,4.7,34798,1581.73
"89","Adam Tomlinson","Greater Western Sydney",2019,22,"Mid",1701,77.32,0.0467,0.0467,4.67,36428,1655.82
"90","Adam Tomlinson","Melbourne",2020,12,"Mid",613,51.08,0.0314,0.0445,4.45,19520,1148.24
"91","Adam Tomlinson","Melbourne",2021,7,"Back",363,51.86,0.0105,0.0331,3.31,34443,1565.59
"92","Adam Tomlinson","Melbourne",2022,8,"Back",353,44.12,0.0105,0.029,2.9,33486,1522.09
"93","Adam Treloar","Collingwood",2016,22,"Mid",2453,111.5,0.0684,0.0684,6.84,35857,1629.86
"94","Adam Treloar","Collingwood",2017,21,"Mid",2268,108,0.0598,0.0627,6.27,37905,1722.95
"95","Adam Treloar","Collingwood",2018,13,"Mid",1410,108.46,0.0383,0.0649,6.49,36769,1671.32
"96","Adam Treloar","Collingwood",2019,22,"Mid",2497,113.5,0.0669,0.0669,6.69,37323,1696.5
"97","Adam Treloar","Collingwood",2020,8,"Mid",702,87.75,0.0336,0.0714,7.14,20886,1228.59
"98","Adam Treloar","Greater Western Sydney",2014,20,"Mid",2069,103.45,0.0614,0.0675,6.75,33707,1532.14
"99","Adam Treloar","Greater Western Sydney",2015,21,"Mid",2184,104,0.0637,0.0667,6.67,34301,1559.14
